Date,Mkt-RF,SMB,HML,RF
20090828,0.19,-0.17,1.55,0.003
20090904,-1.08,0,-1.96,0.002
20090911,2.8,1.52,1.7,0.002
20090918,2.59,1.16,1.98,0.002
20090925,-2.3,-0.55,-1.84,0.002
20091002,-1.89,-1.16,-0.78,0.001
20091009,4.72,1.16,2.84,0.001
20091016,1.37,-0.57,-0.47,0.001
20091023,-0.87,-1.52,-1.38,0.001
20091030,-4.48,-2.37,-3.5,0.001
20091106,3.37,0.08,0.11,0
20091113,2.12,-1.49,0.81,0
20091120,-0.19,0.05,-0.56,0
20091127,-0.09,-0.71,-1.15,0
20091204,1.58,2.64,0.56,0.001
20091211,0.12,-0.37,0.03,0.001
20091218,-0.01,1.86,0.39,0.001
20091224,2.35,1.58,0.08,0.001
20091231,-1.01,-0.25,-0.14,0.001
20100108,2.89,0.26,3.9,0.001
20100115,-0.91,0.11,-1.51,0.001
20100122,-3.57,0.84,-1.86,0.001
20100129,-1.7,-0.75,0.08,0.001
20100205,-0.81,-0.71,-0.17,0
20100212,1.41,2.32,0.78,0
20100219,3.18,0.02,1.68,0
20100226,-0.37,-0.37,0.74,0
20100305,3.46,2.53,1.25,0.002
20100312,1.18,0.36,0.45,0.002
20100319,0.61,-1.18,-0.72,0.002
20100326,0.66,0.03,1.16,0.002
20100401,1.02,-0.33,0.66,0.003
20100409,1.63,1.17,2.22,0.003
20100416,0.1,2.72,-0.55,0.003
20100423,2.19,1.75,1.85,0.003
20100430,-2.62,-0.69,-1.48,0.003
20100507,-6.78,-2.16,-2.21,0.003
20100514,2.8,3.75,0.1,0.003
20100521,-4.49,-2.37,-1.08,0.003
20100528,0.62,1.37,0.98,0.003
20100604,-2.43,-1.42,-2.2,0.003
20100611,2.46,-0.49,-0.13,0.003
20100618,2.41,0.38,0.39,0.003
20100625,-3.52,0.19,-0.39,0.003
20100702,-5.26,-1.52,-2.06,0.004
20100709,5.39,-0.82,1.15,0.004
20100716,-1.36,-1.22,-1.18,0.004
20100723,3.91,2.84,-0.13,0.004
20100730,-0.13,0,0.94,0.004
20100806,1.68,-1.61,-0.67,0.003
20100813,-4.01,-2.48,-0.6,0.003
20100820,-0.42,1.03,-0.96,0.003
20100827,-0.51,1.09,-0.24,0.003
20100903,3.85,0.11,0.77,0.003
20100910,0.31,-1.34,-0.2,0.003
20100917,1.69,1.07,-1.82,0.003
20100924,2.16,1.18,-0.87,0.003
20101001,0.11,1.41,-0.05,0.003
20101008,1.69,0.58,0.16,0.003
20101015,1.01,1.24,-2.12,0.003
20101022,0.46,-0.62,0.28,0.003
20101029,0.24,-0.03,-1.06,0.003
20101105,3.66,0.97,1.51,0.003
20101112,-2.01,0.05,-0.61,0.003
20101119,0.26,0.77,-0.62,0.003
20101126,-0.5,2.01,-1.54,0.003
20101203,3,-0.25,1.09,0.003
20101210,1.48,1.02,1.47,0.003
20101217,0.37,0.11,-0.86,0.003
20101223,1.05,0.07,1.55,0.003
20101231,0.04,-0.6,0.66,0.003
20110107,1.14,-0.61,0.43,0.002
20110114,1.76,0.81,0.39,0.002
20110121,-1.25,-3.16,0.33,0.002
20110128,-0.38,0.68,-0.18,0.002
20110204,2.77,0.44,-0.81,0.003
20110211,1.67,1.05,0.7,0.003
20110218,1.08,0.41,0.59,0.003
20110225,-1.73,0,-0.07,0.003
20110304,0.19,0.31,-0.61,0.002
20110311,-1.43,-1.56,0.95,0.002
20110318,-1.81,0.78,0.1,0.002
20110325,2.94,1.38,-1.15,0.002
20110401,1.59,1.21,-0.38,0.001
20110408,-0.3,-0.28,-0.15,0.001
20110415,-0.69,-0.17,-1.19,0.001
20110421,1.36,0.18,-1.2,0.001
20110429,2.01,0.12,-0.32,0.001
20110506,-1.88,-1.89,-0.35,0
20110513,-0.06,0.57,-1.46,0
20110520,-0.37,-0.71,0.01,0
20110527,0.03,1.01,-0.25,0
20110603,-2.49,-0.93,-0.06,0.001
20110610,-2.38,-0.98,0.06,0.001
20110617,0.01,0.01,0.88,0.001
20110624,0.22,2.36,-1.12,0.001
20110701,5.58,-0.42,-0.36,-0.001
20110708,0.52,1.13,-1.74,-0.001
20110715,-2.15,-0.29,-0.26,-0.001
20110722,2.06,-0.79,-0.05,-0.001
20110729,-4.11,-1.26,0.63,-0.001
20110805,-7.74,-2.25,-0.05,0.002
20110812,-1.59,-1.12,-3.45,0.002
20110819,-5.05,-1.61,1.8,0.002
20110826,5.01,1.13,-1.25,0.002
20110902,-0.21,-0.87,-1.16,0
20110909,-1.56,0.41,-0.25,0
20110916,5.47,0.28,-0.34,0
20110923,-6.77,-1.57,-1.63,0
20110930,-0.62,-0.92,2.41,0
20111007,2.27,0.23,-1.61,0
20111014,6.28,2.2,-0.3,0
20111021,0.95,-1.74,2.22,0
20111028,4.09,2.43,0.39,0
20111104,-2.28,0.82,-1.66,0
20111111,0.61,-1.04,0.54,0
20111118,-3.69,0.45,-0.1,0
20111125,-4.86,-2.4,-0.39,0
20111202,7.68,2.21,0.57,0
20111209,0.86,0.44,0.11,0
20111216,-2.88,-0.4,0.63,0
20111223,3.66,-0.52,1.48,0
20111230,-0.62,-0.19,-0.44,0
20120106,1.7,-0.58,0.84,0
20120113,1.18,0.88,0.17,0
20120120,2.13,0.58,-0.18,0
20120127,0.33,1.81,-1.7,0
20120203,2.5,1.64,0.33,0.001
20120210,-0.23,-1.62,-0.36,0.001
20120217,1.6,0.34,0.37,0.001
20120224,0.26,-0.58,-1.01,0.001
20120302,0.05,-3.38,0.44,0.001
20120309,0.32,1.67,0.06,0.001
20120316,2.29,-0.76,1.54,0.001
20120323,-0.44,0.61,-0.31,0.001
20120330,0.74,-0.64,-0.39,0.001
20120405,-0.71,-0.64,-0.69,0.001
20120413,-2.05,-0.18,-0.16,0.001
20120420,0.56,0.18,0.43,0.001
